id,choice,accuracy,overtime,relationship with kerensuki,relationship with renin,relationship with sudarin
27,1,30,,,,
27,2,30,,,,
27,3,30,,,,
27,4,30,,,,
28,1,30,,,,
28,2,30,,,,
28,3,30,,,,
28,4,30,,,,
29,1,30,,,,
29,2,30,,,,
29,3,30,,,,
29,4,30,,,,
30,1,30,,,,
30,2,30,,,,
30,3,30,,,,
30,4,30,,,,
31,1,30,,,,
31,2,30,,,,
31,3,30,,,,
31,4,30,,,,
32,1,30,,,,
32,2,30,,,,
32,3,30,,,,
32,4,30,,,,
33,1,30,,,,
33,2,30,,,,
33,3,30,,,,
33,4,30,,,,
34,1,30,,,,
34,2,30,,,,
34,3,30,,,,
34,4,30,,,,
35,1,30,,,,
35,2,30,,,,
35,3,30,,,,
35,4,30,,,,
36,1,30,,,,
36,2,30,,,,
36,3,30,,,,
36,4,30,,,,
37,1,30,,,,
37,2,30,,,,
37,3,30,,,,
37,4,30,,,,
38,1,30,,,,
38,2,30,,,,
38,3,30,,,,
38,4,30,,,,
39,1,30,,,,
39,2,30,,,,
39,3,30,,,,
39,4,30,,,,
40,1,30,,,,
40,2,30,,,,
40,3,30,,,,
40,4,30,,,,
41,1,30,,,,
41,2,30,,,,
41,3,30,,,,
41,4,30,,,,
42,1,30,,,,
42,2,30,,,,
42,3,30,,,,
42,4,30,,,,
43,1,30,,,,
43,2,30,,,,
43,3,30,,,,
43,4,30,,,,
44,1,30,,,,
44,2,30,,,,
44,3,30,,,,
44,4,30,,,,
45,1,30,,,,
45,2,30,,,,
45,3,30,,,,
45,4,30,,,,
46,1,30,,,,
46,2,30,,,,
46,3,30,,,,
46,4,30,,,,
47,1,30,,,,
47,2,30,,,,
47,3,30,,,,
47,4,30,,,,
48,1,30,,,,
48,2,30,,,,
48,3,30,,,,
48,4,30,,,,
49,1,30,,,,
49,2,30,,,,
49,3,30,,,,
49,4,30,,,,
50,1,30,,,,
50,2,30,,,,
50,3,30,,,,
50,4,30,,,,
51,1,30,,,,
51,2,30,,,,
51,3,30,,,,
51,4,30,,,,
52,1,30,,,,
52,2,30,,,,
52,3,30,,,,
52,4,30,,,,
53,1,30,,,,
53,2,30,,,,
53,3,30,,,,
53,4,30,,,,
54,1,30,,,,
54,2,30,,,,
54,3,30,,,,
54,4,30,,,,
55,1,30,,,,
55,2,30,,,,
55,3,30,,,,
55,4,30,,,,
56,1,30,,,,
56,2,30,,,,
56,3,30,,,,
56,4,30,,,,
57,1,30,,,,
57,2,30,,,,
57,3,30,,,,
57,4,30,,,,
58,1,30,,,,
58,2,30,,,,
58,3,30,,,,
58,4,30,,,,
59,1,30,,,,
59,2,30,,,,
59,3,30,,,,
59,4,30,,,,
60,1,30,,,,
60,2,30,,,,
60,3,30,,,,
60,4,30,,,,
61,1,30,,,,
61,2,30,,,,
61,3,30,,,,
61,4,30,,,,
62,1,30,,,,
62,2,30,,,,
62,3,30,,,,
62,4,30,,,,
63,1,30,,,,
63,2,30,,,,
63,3,30,,,,
63,4,30,,,,
64,1,30,,,,
64,2,30,,,,
64,3,30,,,,
64,4,30,,,,
65,1,30,,,,
65,2,30,,,,
65,3,30,,,,
65,4,30,,,,
66,1,30,,,,
66,2,30,,,,
66,3,30,,,,
66,4,30,,,,
67,1,30,,,,
67,2,30,,,,
67,3,30,,,,
67,4,30,,,,
68,1,30,,,,
68,2,30,,,,
68,3,30,,,,
68,4,30,,,,
69,1,30,,,,
69,2,30,,,,
69,3,30,,,,
69,4,30,,,,
70,1,30,,,,
70,2,30,,,,
70,3,30,,,,
70,4,30,,,,
71,1,30,,,,
71,2,30,,,,
71,3,30,,,,
71,4,30,,,,
72,1,30,,,,
72,2,30,,,,
72,3,30,,,,
72,4,30,,,,
73,1,30,,,,
73,2,30,,,,
73,3,30,,,,
73,4,30,,,,
74,1,30,,,,
74,2,30,,,,
74,3,30,,,,
74,4,30,,,,
75,1,30,,,,
75,2,30,,,,
75,3,30,,,,
75,4,30,,,,
76,1,30,,,,
76,2,30,,,,
76,3,30,,,,
76,4,30,,,,
77,1,30,,,,
77,2,30,,,,
77,3,30,,,,
77,4,30,,,,
78,1,30,,,,
78,2,30,,,,
78,3,30,,,,
78,4,30,,,,
79,1,30,,,,
79,2,30,,,,
79,3,30,,,,
79,4,30,,,,
80,1,30,,,,
80,2,30,,,,
80,3,30,,,,
80,4,30,,,,
81,1,30,,,,
81,2,30,,,,
81,3,30,,,,
81,4,30,,,,
82,1,30,,,,
82,2,30,,,,
82,3,30,,,,
82,4,30,,,,
83,1,30,,,,
83,2,30,,,,
83,3,30,,,,
83,4,30,,,,
84,1,30,,,,
84,2,30,,,,
84,3,30,,,,
84,4,30,,,,
85,1,30,,,,
85,2,30,,,,
85,3,30,,,,
85,4,30,,,,
86,1,30,,,,
86,2,30,,,,
86,3,30,,,,
86,4,30,,,,
87,1,30,,,,
87,2,30,,,,
87,3,30,,,,
87,4,30,,,,
88,1,30,,,,
88,2,30,,,,
88,3,30,,,,
88,4,30,,,,
89,1,30,,,,
89,2,30,,,,
89,3,30,,,,
89,4,30,,,,
90,1,30,,,,
90,2,30,,,,
90,3,30,,,,
90,4,30,,,,
91,1,30,,,,
91,2,30,,,,
91,3,30,,,,
91,4,30,,,,
92,1,30,,,,
92,2,30,,,,
92,3,30,,,,
92,4,30,,,,
93,1,30,,,,
93,2,30,,,,
93,3,30,,,,
93,4,30,,,,
94,1,30,,,,
94,2,30,,,,
94,3,30,,,,
94,4,30,,,,
95,1,30,,,,
95,2,30,,,,
95,3,30,,,,
95,4,30,,,,
96,1,30,,,,
96,2,30,,,,
96,3,30,,,,
96,4,30,,,,
97,1,30,,,,
97,2,30,,,,
97,3,30,,,,
97,4,30,,,,
98,1,30,,,,
98,2,30,,,,
98,3,30,,,,
98,4,30,,,,
99,1,30,,,,
99,2,30,,,,
99,3,30,,,,
99,4,30,,,,
100,1,30,,,,
100,2,30,,,,
100,3,30,,,,
100,4,30,,,,
101,1,30,,,,
101,2,30,,,,
101,3,30,,,,
101,4,30,,,,
102,1,30,,,,
102,2,30,,,,
102,3,30,,,,
102,4,30,,,,
103,1,30,,,,
103,2,30,,,,
103,3,30,,,,
103,4,30,,,,
104,1,30,,,,
104,2,30,,,,
104,3,30,,,,
104,4,30,,,,
105,1,30,,,,
105,2,30,,,,
105,3,30,,,,
105,4,30,,,,
106,1,30,,,,
106,2,30,,,,
106,3,30,,,,
106,4,30,,,,
107,1,30,,,,
107,2,30,,,,
107,3,30,,,,
107,4,30,,,,
108,1,30,,,,
108,2,30,,,,
108,3,30,,,,
108,4,30,,,,
109,1,30,,,,
109,2,30,,,,
109,3,30,,,,
109,4,30,,,,
110,1,30,,,,
110,2,30,,,,
110,3,30,,,,
110,4,30,,,,
111,1,30,,,,
111,2,30,,,,
111,3,30,,,,
111,4,30,,,,
112,1,30,,,,
112,2,30,,,,
112,3,30,,,,
112,4,30,,,,
113,1,30,,,,
113,2,30,,,,
113,3,30,,,,
113,4,30,,,,
114,1,30,,,,
114,2,30,,,,
114,3,30,,,,
114,4,30,,,,
115,1,30,,,,
115,2,30,,,,
115,3,30,,,,
115,4,30,,,,
116,1,30,,,,
116,2,30,,,,
116,3,30,,,,
116,4,30,,,,
117,1,30,,,,
117,2,30,,,,
117,3,30,,,,
117,4,30,,,,
118,1,30,,,,
118,2,30,,,,
118,3,30,,,,
118,4,30,,,,
119,1,30,,,,
119,2,30,,,,
119,3,30,,,,
119,4,30,,,,
120,1,30,,,,
120,2,30,,,,
120,3,30,,,,
120,4,30,,,,
121,1,30,,,,
121,2,30,,,,
121,3,30,,,,
121,4,30,,,,
122,1,30,,,,
122,2,30,,,,
122,3,30,,,,
122,4,30,,,,
123,1,30,,,,
123,2,30,,,,
123,3,30,,,,
123,4,30,,,,
124,1,30,,,,
124,2,30,,,,
124,3,30,,,,
124,4,30,,,,
125,1,30,,,,
125,2,30,,,,
125,3,30,,,,
125,4,30,,,,
126,1,30,,,,
126,2,30,,,,
126,3,30,,,,
126,4,30,,,,
127,1,30,,,,
127,2,30,,,,
127,3,30,,,,
127,4,30,,,,
128,1,30,,,,
128,2,30,,,,
128,3,30,,,,
128,4,30,,,,
129,1,30,,,,
129,2,30,,,,
129,3,30,,,,
129,4,30,,,,
130,1,30,,,,
130,2,30,,,,
130,3,30,,,,
130,4,30,,,,
131,1,30,,,,
131,2,30,,,,
131,3,30,,,,
131,4,30,,,,
132,1,30,,,,
132,2,30,,,,
132,3,30,,,,
132,4,30,,,,
133,1,30,,,,
133,2,30,,,,
133,3,30,,,,
133,4,30,,,,
134,1,30,,,,
134,2,30,,,,
134,3,30,,,,
134,4,30,,,,
135,1,30,,,,
135,2,30,,,,
135,3,30,,,,
135,4,30,,,,
136,1,30,,,,
136,2,30,,,,
136,3,30,,,,
136,4,30,,,,
137,1,30,,,,
137,2,30,,,,
137,3,30,,,,
137,4,30,,,,
138,1,30,,,,
138,2,30,,,,
138,3,30,,,,
138,4,30,,,,
139,1,30,,,,
139,2,30,,,,
139,3,30,,,,
139,4,30,,,,
140,1,30,,,,
140,2,30,,,,
140,3,30,,,,
140,4,30,,,,
141,1,30,,,,
141,2,30,,,,
141,3,30,,,,
141,4,30,,,,
142,1,30,,,,
142,2,30,,,,
142,3,30,,,,
142,4,30,,,,
143,1,30,,,,
143,2,30,,,,
143,3,30,,,,
143,4,30,,,,
144,1,30,,,,
144,2,30,,,,
144,3,30,,,,
144,4,30,,,,
145,1,30,,,,
145,2,30,,,,
145,3,30,,,,
145,4,30,,,,
146,1,30,,,,
146,2,30,,,,
146,3,30,,,,
146,4,30,,,,
147,1,30,,,,
147,2,30,,,,
147,3,30,,,,
147,4,30,,,,
148,1,30,,,,
148,2,30,,,,
148,3,30,,,,
148,4,30,,,,
149,1,30,,,,
149,2,30,,,,
149,3,30,,,,
149,4,30,,,,
150,1,30,,,,
150,2,30,,,,
150,3,30,,,,
150,4,30,,,,
151,1,30,,,,
151,2,30,,,,
151,3,30,,,,
151,4,30,,,,
152,1,30,,,,
152,2,30,,,,
152,3,30,,,,
152,4,30,,,,
153,1,30,,,,
153,2,30,,,,
153,3,30,,,,
153,4,30,,,,
154,1,30,,,,
154,2,30,,,,
154,3,30,,,,
154,4,30,,,,
155,1,30,,,,
155,2,30,,,,
155,3,30,,,,
155,4,30,,,,
156,1,30,,,,
156,2,30,,,,
156,3,30,,,,
156,4,30,,,,
157,1,30,,,,
157,2,30,,,,
157,3,30,,,,
157,4,30,,,,
158,1,30,,,,
158,2,30,,,,
158,3,30,,,,
158,4,30,,,,
159,1,30,,,,
159,2,30,,,,
159,3,30,,,,
159,4,30,,,,
160,1,30,,,,
160,2,30,,,,
160,3,30,,,,
160,4,30,,,,
161,1,30,,,,
161,2,30,,,,
161,3,30,,,,
161,4,30,,,,
162,1,30,,,,
162,2,30,,,,
162,3,30,,,,
162,4,30,,,,
163,1,30,,,,
163,2,30,,,,
163,3,30,,,,
163,4,30,,,,
164,1,30,,,,
164,2,30,,,,
164,3,30,,,,
164,4,30,,,,
165,1,30,,,,
165,2,30,,,,
165,3,30,,,,
165,4,30,,,,
166,1,30,,,,
166,2,30,,,,
166,3,30,,,,
166,4,30,,,,
167,1,30,,,,
167,2,30,,,,
167,3,30,,,,
167,4,30,,,,
168,1,30,,,,
168,2,30,,,,
168,3,30,,,,
168,4,30,,,,
169,1,30,,,,
169,2,30,,,,
169,3,30,,,,
169,4,30,,,,
170,1,30,,,,
170,2,30,,,,
170,3,30,,,,
170,4,30,,,,
171,1,30,,,,
171,2,30,,,,
171,3,30,,,,
171,4,30,,,,
172,1,30,,,,
172,2,30,,,,
172,3,30,,,,
172,4,30,,,,
173,1,30,,,,
173,2,30,,,,
173,3,30,,,,
173,4,30,,,,
174,1,30,,,,
174,2,30,,,,
174,3,30,,,,
174,4,30,,,,
175,1,30,,,,
175,2,30,,,,
175,3,30,,,,
175,4,30,,,,
176,1,30,,,,
176,2,30,,,,
176,3,30,,,,
176,4,30,,,,
177,1,30,,,,
177,2,30,,,,
177,3,30,,,,
177,4,30,,,,
178,1,30,,,,
178,2,30,,,,
178,3,30,,,,
178,4,30,,,,
179,1,30,,,,
179,2,30,,,,
179,3,30,,,,
179,4,30,,,,
180,1,30,,,,
180,2,30,,,,
180,3,30,,,,
180,4,30,,,,
181,1,30,,,,
181,2,30,,,,
181,3,30,,,,
181,4,30,,,,
182,1,30,,,,
182,2,30,,,,
182,3,30,,,,
182,4,30,,,,
183,1,30,,,,
183,2,30,,,,
183,3,30,,,,
183,4,30,,,,
184,1,30,,,,
184,2,30,,,,
184,3,30,,,,
184,4,30,,,,
185,1,30,,,,
185,2,30,,,,
185,3,30,,,,
185,4,30,,,,
186,1,30,,,,
186,2,30,,,,
186,3,30,,,,
186,4,30,,,,
187,1,30,,,,
187,2,30,,,,
187,3,30,,,,
187,4,30,,,,
188,1,30,,,,
188,2,30,,,,
188,3,30,,,,
188,4,30,,,,
189,1,30,,,,
189,2,30,,,,
189,3,30,,,,
189,4,30,,,,
190,1,30,,,,
190,2,30,,,,
190,3,30,,,,
190,4,30,,,,
191,1,30,,,,
191,2,30,,,,
191,3,30,,,,
191,4,30,,,,
192,1,30,,,,
192,2,30,,,,
192,3,30,,,,
192,4,30,,,,
193,1,30,,,,
193,2,30,,,,
193,3,30,,,,
193,4,30,,,,
194,1,30,,,,
194,2,30,,,,
194,3,30,,,,
194,4,30,,,,
195,1,30,,,,
195,2,30,,,,
195,3,30,,,,
195,4,30,,,,
196,1,30,,,,
196,2,30,,,,
196,3,30,,,,
196,4,30,,,,
197,1,30,,,,
197,2,30,,,,
197,3,30,,,,
197,4,30,,,,
198,1,30,,,,
198,2,30,,,,
198,3,30,,,,
198,4,30,,,,
199,1,30,,,,
199,2,30,,,,
199,3,30,,,,
199,4,30,,,,
200,1,30,,,,
200,2,30,,,,
200,3,30,,,,
200,4,30,,,,
201,1,30,,,,
201,2,30,,,,
201,3,30,,,,
201,4,30,,,,
202,1,30,,,,
202,2,30,,,,
202,3,30,,,,
202,4,30,,,,
203,1,30,,,,
203,2,30,,,,
203,3,30,,,,
203,4,30,,,,
204,1,30,,,,
204,2,30,,,,
204,3,30,,,,
204,4,30,,,,
205,1,30,,,,
205,2,30,,,,
205,3,30,,,,
205,4,30,,,,
206,1,30,,,,
206,2,30,,,,
206,3,30,,,,
206,4,30,,,,
207,1,30,,,,
207,2,30,,,,
207,3,30,,,,
207,4,30,,,,
208,1,30,,,,
208,2,30,,,,
208,3,30,,,,
208,4,30,,,,
209,1,30,,,,
209,2,30,,,,
209,3,30,,,,
209,4,30,,,,
210,1,30,,,,
210,2,30,,,,
210,3,30,,,,
210,4,30,,,,
211,1,30,,,,
211,2,30,,,,
211,3,30,,,,
211,4,30,,,,
212,1,30,,,,
212,2,30,,,,
212,3,30,,,,
212,4,30,,,,
213,1,30,,,,
213,2,30,,,,
213,3,30,,,,
213,4,30,,,,
214,1,30,,,,
214,2,30,,,,
214,3,30,,,,
214,4,30,,,,
215,1,30,,,,
215,2,30,,,,
215,3,30,,,,
215,4,30,,,,
216,1,30,,,,
216,2,30,,,,
216,3,30,,,,
216,4,30,,,,
217,1,30,,,,
217,2,30,,,,
217,3,30,,,,
217,4,30,,,,
218,1,30,,,,
218,2,30,,,,
218,3,30,,,,
218,4,30,,,,
219,1,30,,,,
219,2,30,,,,
219,3,30,,,,
219,4,30,,,,
220,1,30,,,,
220,2,30,,,,
220,3,30,,,,
220,4,30,,,,
221,1,30,,,,
221,2,30,,,,
221,3,30,,,,
221,4,30,,,,
222,1,30,,,,
222,2,30,,,,
222,3,30,,,,
222,4,30,,,,
223,1,30,,,,
223,2,30,,,,
223,3,30,,,,
223,4,30,,,,
224,1,30,,,,
224,2,30,,,,
224,3,30,,,,
224,4,30,,,,
225,1,30,,,,
225,2,30,,,,
225,3,30,,,,
225,4,30,,,,
226,1,30,,,,
226,2,30,,,,
226,3,30,,,,
226,4,30,,,,
227,1,30,,,,
227,2,30,,,,
227,3,30,,,,
227,4,30,,,,
228,1,30,,,,
228,2,30,,,,
228,3,30,,,,
228,4,30,,,,
229,1,30,,,,
229,2,30,,,,
229,3,30,,,,
229,4,30,,,,
230,1,30,,,,
230,2,30,,,,
230,3,30,,,,
230,4,30,,,,
231,1,30,,,,
231,2,30,,,,
231,3,30,,,,
231,4,30,,,,
232,1,30,,,,
232,2,30,,,,
232,3,30,,,,
232,4,30,,,,
233,1,30,,,,
233,2,30,,,,
233,3,30,,,,
233,4,30,,,,
234,1,30,,,,
234,2,30,,,,
234,3,30,,,,
234,4,30,,,,
235,1,30,,,,
235,2,30,,,,
235,3,30,,,,
235,4,30,,,,
236,1,30,,,,
236,2,30,,,,
236,3,30,,,,
236,4,30,,,,
237,1,30,,,,
237,2,30,,,,
237,3,30,,,,
237,4,30,,,,
238,1,30,,,,
238,2,30,,,,
238,3,30,,,,
238,4,30,,,,
239,1,30,,,,
239,2,30,,,,
239,3,30,,,,
239,4,30,,,,
240,1,30,,,,
240,2,30,,,,
240,3,30,,,,
240,4,30,,,,
241,1,30,,,,
241,2,30,,,,
241,3,30,,,,
241,4,30,,,,
242,1,30,,,,
242,2,30,,,,
242,3,30,,,,
242,4,30,,,,
243,1,30,,,,
243,2,30,,,,
243,3,30,,,,
243,4,30,,,,
244,1,30,,,,
244,2,30,,,,
244,3,30,,,,
244,4,30,,,,
245,1,30,,,,
245,2,30,,,,
245,3,30,,,,
245,4,30,,,,
246,1,30,,,,
246,2,30,,,,
246,3,30,,,,
246,4,30,,,,
247,1,30,,,,
247,2,30,,,,
247,3,30,,,,
247,4,30,,,,
248,1,30,,,,
248,2,30,,,,
248,3,30,,,,
248,4,30,,,,
249,1,30,,,,
249,2,30,,,,
249,3,30,,,,
249,4,30,,,,
250,1,30,,,,
250,2,30,,,,
250,3,30,,,,
250,4,30,,,,
251,1,30,,,,
251,2,30,,,,
251,3,30,,,,
251,4,30,,,,
252,1,30,,,,
252,2,30,,,,
252,3,30,,,,
252,4,30,,,,
253,1,30,,,,
253,2,30,,,,
253,3,30,,,,
253,4,30,,,,
254,1,30,,,,
254,2,30,,,,
254,3,30,,,,
254,4,30,,,,
255,1,30,,,,
255,2,30,,,,
255,3,30,,,,
255,4,30,,,,
256,1,30,,,,
256,2,30,,,,
256,3,30,,,,
256,4,30,,,,
257,1,30,,,,
257,2,30,,,,
257,3,30,,,,
257,4,30,,,,
258,1,30,,,,
258,2,30,,,,
258,3,30,,,,
258,4,30,,,,
259,1,30,,,,
259,2,30,,,,
259,3,30,,,,
259,4,30,,,,
260,1,30,,,,
260,2,30,,,,
260,3,30,,,,
260,4,30,,,,
261,1,30,,,,
261,2,30,,,,
261,3,30,,,,
261,4,30,,,,
262,1,30,,,,
262,2,30,,,,
262,3,30,,,,
262,4,30,,,,
263,1,30,,,,
263,2,30,,,,
263,3,30,,,,
263,4,30,,,,
264,1,30,,,,
264,2,30,,,,
264,3,30,,,,
264,4,30,,,,
265,1,30,,,,
265,2,30,,,,
265,3,30,,,,
265,4,30,,,,
266,1,30,,,,
266,2,30,,,,
266,3,30,,,,
266,4,30,,,,
267,1,30,,,,
267,2,30,,,,
267,3,30,,,,
267,4,30,,,,
268,1,30,,,,
268,2,30,,,,
268,3,30,,,,
268,4,30,,,,
269,1,30,,,,
269,2,30,,,,
269,3,30,,,,
269,4,30,,,,
270,1,30,,,,
270,2,30,,,,
270,3,30,,,,
270,4,30,,,,
271,1,30,,,,
271,2,30,,,,
271,3,30,,,,
271,4,30,,,,
272,1,30,,,,
272,2,30,,,,
272,3,30,,,,
272,4,30,,,,
273,1,30,,,,
273,2,30,,,,
273,3,30,,,,
273,4,30,,,,
274,1,30,,,,
274,2,30,,,,
274,3,30,,,,
274,4,30,,,,
275,1,30,,,,
275,2,30,,,,
275,3,30,,,,
275,4,30,,,,
276,1,30,,,,
276,2,30,,,,
276,3,30,,,,
276,4,30,,,,
277,1,30,,,,
277,2,30,,,,
277,3,30,,,,
277,4,30,,,,
278,1,30,,,,
278,2,30,,,,
278,3,30,,,,
278,4,30,,,,
279,1,30,,,,
279,2,30,,,,
279,3,30,,,,
279,4,30,,,,
280,1,30,,,,
280,2,30,,,,
280,3,30,,,,
280,4,30,,,,
281,1,30,,,,
281,2,30,,,,
281,3,30,,,,
281,4,30,,,,
282,1,30,,,,
282,2,30,,,,
282,3,30,,,,
282,4,30,,,,
283,1,30,,,,
283,2,30,,,,
283,3,30,,,,
283,4,30,,,,
284,1,30,,,,
284,2,30,,,,
284,3,30,,,,
284,4,30,,,,
285,1,30,,,,
285,2,30,,,,
285,3,30,,,,
285,4,30,,,,
286,1,30,,,,
286,2,30,,,,
286,3,30,,,,
286,4,30,,,,
287,1,30,,,,
287,2,30,,,,
287,3,30,,,,
287,4,30,,,,
288,1,30,,,,
288,2,30,,,,
288,3,30,,,,
288,4,30,,,,
289,1,30,,,,
289,2,30,,,,
289,3,30,,,,
289,4,30,,,,
290,1,30,,,,
290,2,30,,,,
290,3,30,,,,
290,4,30,,,,
291,1,30,,,,
291,2,30,,,,
291,3,30,,,,
291,4,30,,,,
292,1,30,,,,
292,2,30,,,,
292,3,30,,,,
292,4,30,,,,
293,1,30,,,,
293,2,30,,,,
293,3,30,,,,
293,4,30,,,,
294,1,30,,,,
294,2,30,,,,
294,3,30,,,,
294,4,30,,,,
295,1,30,,,,
295,2,30,,,,
295,3,30,,,,
295,4,30,,,,
296,1,30,,,,
296,2,30,,,,
296,3,30,,,,
296,4,30,,,,
297,1,30,,,,
297,2,30,,,,
297,3,30,,,,
297,4,30,,,,
298,1,30,,,,
298,2,30,,,,
298,3,30,,,,
298,4,30,,,,
299,1,30,,,,
299,2,30,,,,
299,3,30,,,,
299,4,30,,,,
300,1,30,,,,
300,2,30,,,,
300,3,30,,,,
300,4,30,,,,
301,1,30,,,,
301,2,30,,,,
301,3,30,,,,
301,4,30,,,,
302,1,30,,,,
302,2,30,,,,
302,3,30,,,,
302,4,30,,,,
303,1,30,,,,
303,2,30,,,,
303,3,30,,,,
303,4,30,,,,
304,1,30,,,,
304,2,30,,,,
304,3,30,,,,
304,4,30,,,,
305,1,30,,,,
305,2,30,,,,
305,3,30,,,,
305,4,30,,,,
306,1,30,,,,
306,2,30,,,,
306,3,30,,,,
306,4,30,,,,
307,1,30,,,,
307,2,30,,,,
307,3,30,,,,
307,4,30,,,,
308,1,30,,,,
308,2,30,,,,
308,3,30,,,,
308,4,30,,,,
309,1,30,,,,
309,2,30,,,,
309,3,30,,,,
309,4,30,,,,
310,1,30,,,,
310,2,30,,,,
310,3,30,,,,
310,4,30,,,,
311,1,30,,,,
311,2,30,,,,
311,3,30,,,,
311,4,30,,,,
312,1,30,,,,
312,2,30,,,,
312,3,30,,,,
312,4,30,,,,
313,1,30,,,,
313,2,30,,,,
313,3,30,,,,
313,4,30,,,,
314,1,30,,,,
314,2,30,,,,
314,3,30,,,,
314,4,30,,,,
315,1,30,,,,
315,2,30,,,,
315,3,30,,,,
315,4,30,,,,
316,1,30,,,,
316,2,30,,,,
316,3,30,,,,
316,4,30,,,,
317,1,30,,,,
317,2,30,,,,
317,3,30,,,,
317,4,30,,,,
318,1,30,,,,
318,2,30,,,,
318,3,30,,,,
318,4,30,,,,
319,1,30,,,,
319,2,30,,,,
319,3,30,,,,
319,4,30,,,,
320,1,30,,,,
320,2,30,,,,
320,3,30,,,,
320,4,30,,,,
321,1,30,,,,
321,2,30,,,,
321,3,30,,,,
321,4,30,,,,
322,1,30,,,,
322,2,30,,,,
322,3,30,,,,
322,4,30,,,,
323,1,30,,,,
323,2,30,,,,
323,3,30,,,,
323,4,30,,,,
324,1,30,,,,
324,2,30,,,,
324,3,30,,,,
324,4,30,,,,
325,1,30,,,,
325,2,30,,,,
325,3,30,,,,
325,4,30,,,,
326,1,30,,,,
326,2,30,,,,
326,3,30,,,,
326,4,30,,,,
327,1,30,,,,
327,2,30,,,,
327,3,30,,,,
327,4,30,,,,
328,1,30,,,,
328,2,30,,,,
328,3,30,,,,
328,4,30,,,,
329,1,30,,,,
329,2,30,,,,
329,3,30,,,,
329,4,30,,,,
330,1,30,,,,
330,2,30,,,,
330,3,30,,,,
330,4,30,,,,
331,1,30,,,,
331,2,30,,,,
331,3,30,,,,
331,4,30,,,,
332,1,30,,,,
332,2,30,,,,
332,3,30,,,,
332,4,30,,,,
333,1,30,,,,
333,2,30,,,,
333,3,30,,,,
333,4,30,,,,
334,1,30,,,,
334,2,30,,,,
334,3,30,,,,
334,4,30,,,,
335,1,30,,,,
335,2,30,,,,
335,3,30,,,,
335,4,30,,,,
336,1,30,,,,
336,2,30,,,,
336,3,30,,,,
336,4,30,,,,
337,1,30,,,,
337,2,30,,,,
337,3,30,,,,
337,4,30,,,,
338,1,30,,,,
338,2,30,,,,
338,3,30,,,,
338,4,30,,,,
339,1,30,,,,
339,2,30,,,,
339,3,30,,,,
339,4,30,,,,
340,1,30,,,,
340,2,30,,,,
340,3,30,,,,
340,4,30,,,,
341,1,30,,,,
341,2,30,,,,
341,3,30,,,,
341,4,30,,,,
342,1,30,,,,
342,2,30,,,,
342,3,30,,,,
342,4,30,,,,
343,1,30,,,,
343,2,30,,,,
343,3,30,,,,
343,4,30,,,,
344,1,30,,,,
344,2,30,,,,
344,3,30,,,,
344,4,30,,,,
345,1,30,,,,
345,2,30,,,,
345,3,30,,,,
345,4,30,,,,
346,1,30,,,,
346,2,30,,,,
346,3,30,,,,
346,4,30,,,,
